내용링크,제목,작가,별점,줄거리,태그,관심,이용가,몇화,이미지링크
/webtoon/list?titleId=772725,물어보는 사이,성은,9.96,"뱀파이어에게 물리면 건강해진다?!
두통으로 의도치 않게 비호감 연예인이 된 이채이.
우연히 톱스타인 서이준이 뱀파이어이고, 그에게 물리면 한동안 건강해진다는 걸 알게 된다.
물어달라 부탁하는 채이에게 이준은 계약 연애를 제안하는데...",#로맨스#아이돌#계약연애#직진남#인외존재#연예계#삼각관계#뱀파이어,391227,15세 이용가,총 117화,https://image-comic.pstatic.net/webtoon/772725/110/thumbnail_202x120_16236b3b-76a5-48fa-8300-54176eb13386.jpg
/webtoon/list?titleId=752414,리턴 투 플레이어,레포 / 세혼 / 인덱스,9.93,"어느 날, 게임이 되어버린 세상.
갑자기 나타난 몬스터들이 사람들을 죽이고, 사람들은 플레이어가 되어 퀘스트를 달성해야 한다!
인류의 종말에서 회귀한 2회차 플레이어, 김세한.
그는 과연 세상을 이렇게 만든 '시스템'을 쳐부술 수 있을까!",#판타지#아포칼립스#게임판타지#회귀#소년왕도물#먼치킨#소설원작,239968,15세 이용가,총 140화,https://image-comic.pstatic.net/webtoon/752414/136/thumbnail_202x120_831c9cf4-eb7f-4e64-bf79-818e31a9725e.jpg
/webtoon/list?titleId=807775,천재 타자가 강속구를 숨김,황지성 / 스튜디오MW / 이블라인,9.91,"부와 명예, 모든 걸 얻은 천재 메이저리거 강건우.
그런 그조차도 아내와의 행복한 결혼 생활만큼은 이어갈 수 없었다.
아내의 빈자리를 느끼며 후회하던 그가 신비한 반지의 힘으로 과거에 돌아왔다.
풋풋한 연애시절의 고등학생이 된 그는 이번에야말로 사랑을 쟁취할 수 있을까.",#스포츠#야구#소설원작,66444,전체연령가,총 31화,https://image-comic.pstatic.net/webtoon/807775/26/thumbnail_202x120_810df0de-3868-4c3d-bf30-501a964045bd.jpg
/webtoon/list?titleId=21815,히어로메이커,빤쓰,9.95,왕은 영웅이 되고 싶어하는 공주의 소원을 들어주기로 전격 결심! 공주를 속이고 마치 영웅이 된 것처럼 만들기 위해 온 나라가 연극을 하게 되는데..파란만장한 그들만의 눈물겨운 영웅만들기의 대장정이 펼쳐집니다~,#판타지#히어로,82512,전체연령가,총 891화,https://image-comic.pstatic.net/webtoon/21815/892/thumbnail_202x120_368861bc-1971-4845-8114-3393bf1a09c4.jpg
/webtoon/list?titleId=814781,미친 재능의 플레이어,S-Nanyc / H.로마 / 체나,9.37,"세상의 운명이 걸린 게임이 시작되고 6년. 
한 번도 톱 랭커의 자리를 내어주지 않은 최강의 플레이어,
영웅왕 강유성 역시 새로운 시즌을 맞이한다. 

“저는…… X나 예전에 끝났습니다. 돈 때문에 하는 거죠.” 
[도발 수치가 대폭 상승합니다!] 
[어릿광대 군주가 계약자의 행동에 흡족함을 표시합니다!] 

미친 재능의 플레이어가 살아남는 법이 펼쳐진다!",#판타지#요즘핫한추천작#레드아이스 스튜디오#사이다#히어로#헌터물,30543,15세 이용가,총 8화,https://image-comic.pstatic.net/webtoon/814781/3/thumbnail_202x120_7482d18a-9020-45a1-a47f-231e4db1dabc.jpg
/webtoon/list?titleId=783050,신군,규남,9.95,"악마에게 모든 걸 잃고 먹이로 사육당하는 소년.
이를 갈며 복수를 갈망하지만 인간의 힘은 악마에게 닿지 못했다.
그때 그의 앞에 신군이 나타난다.
2020 지상최대공모전 2기 장려상 수상작!",#액션#소년왕도물,93869,15세 이용가,총 92화,https://image-comic.pstatic.net/webtoon/783050/88/thumbnail_202x120_db1af719-a395-4254-a1a8-d462f0dc553d.jpg
/webtoon/list?titleId=814362,시한부의 아이까지 뺏으려 합니다,랍스타 / 이루이,9.91,"“아이에게 시한부 어머니를 남겨줄 생각이에요?”

부모님의 유품인 마법 거울이 보여준 미래는 참담했다.
아이를 낳고 나는 시한부가 되고, 남편의 정부가 아이를 두고 떠나라고 종용하는 미래.
아직 우린 결혼조차 하지 않았으니 불행한 미래도 피할 수 있을 거야.

“노공작께서 돌아가시면 우리도 헤어지자.”

북부의 차가운 설원을 닮은 네가, 나를 붙들 리 없으니.
그런데 이별을 이야기하는 나를 바라보는 네 눈빛은 왜 이렇게 뜨겁지?.

“아이가 없으면 아무 문제없는 거 아닌가? 그러니까 너도 이혼 같은 거 꿈도 꾸지 마. 그냥 내 옆에 있어.”

조심스럽게 다가온 네 입술에서 따뜻한 온기가 느껴졌다.
하지만 깊은 입맞춤은 그저 이제 이어질 기나긴 밤의 시작을 알리는 행위였을 뿐이다.",#로맨스#소설원작,35447,전체연령가,총 9화,https://image-comic.pstatic.net/webtoon/814362/4/thumbnail_202x120_66f61699-48f9-43db-8934-e7fede72a51a.jpg
/webtoon/list?titleId=730174,칼가는 소녀,오리,9.97,"치사율 100%의 인싸 희귀병 소녀 '사랑'
누구보다 차분하고 두려움 없는 같은 반 소녀 '은조'
두 소녀가 가슴 속 칼을 품고 세상을 향한 복수를 꿈꾼다.
네이버웹툰 최강자전 18년 대표작.",#드라마#최강자전#2018 최강자전#성장드라마#걸크러시#감성드라마,397969,12세 이용가,총 165화,https://image-comic.pstatic.net/webtoon/730174/160/thumbnail_202x120_6991f116-0b6c-4bb7-b8ce-4bbadb30fc25.jpg
/webtoon/list?titleId=802039,루루라라 우리네 인생,현이씨,9.96,"시간이 지나면 자연스레 성숙한 으른(?)이 되어 있을 줄 알았는데
그저 술과 음란한 이야기를 좋아하는 알딸딸한 어른이 되어버렸다. 
 
어느날 귀농을 결심한 부모님을 따라 
어쩌다보니 시골과 도시를 오가게 된 현이씨의 인생 제 2막 시작!",#일상#무해한,32533,전체연령가,총 97화,https://image-comic.pstatic.net/webtoon/802039/93/thumbnail_202x120_5460a128-6084-419a-b72d-0cdd7d03922e.jpg
/webtoon/list?titleId=791256,파견체,곽백수,9.92,"'단 하나의 지성이 온 우주의 종말을 가져올 수 있다.'

빅뱅 38억년 한 지성체의 폭주로 우주 종말의 위기를 겪은
우주의 지성체들은 '전우주관리국'이란 연합기구를 만들어
우주 전체의 지성체들을 감시 통제하고 있다.

이미 지구도 300만년 전부터 
인간을 복제한 '파견체'들이란 존재들을 통해 비밀리에
감시를 받아오고 있었는데....",#판타지#sf#인외존재,20274,12세 이용가,총 91화,https://image-comic.pstatic.net/webtoon/791256/85/thumbnail_202x120_04f7aefc-12e8-4f47-8b12-10be5bca53c2.jpg
